,0
1031,OMOP_42899810
1032,OMOP_42899571
1033,OMOP_42898571
1034,OMOP_42898389
1035,OMOP_42898912
1036,OMOP_42900239
1037,OMOP_42900447
1038,OMOP_42898551
1039,OMOP_42899008
1040,OMOP_42898883
1041,OMOP_42899524
1042,OMOP_42898740
1043,OMOP_42899939
1044,OMOP_42898282
1045,OMOP_42899940
1046,OMOP_42900042
1047,OMOP_42899689
1048,OMOP_42898550
1049,OMOP_42899915
1050,OMOP_42899914
1051,OMOP_42898488
1052,OMOP_42898775
1053,OMOP_42899074
1054,OMOP_42899094
1055,OMOP_42899883
1056,OMOP_42899835
1057,OMOP_42899361
1058,OMOP_42899680
1059,OMOP_42899432
1060,OMOP_42899198
1061,OMOP_42900103
1062,OMOP_42899868
1063,OMOP_42899872
1064,OMOP_42898625
1065,OMOP_42898491
1066,OMOP_42899732
1067,OMOP_42900166
1068,OMOP_42899006
1069,OMOP_42900421
1070,OMOP_42898956
1071,OMOP_42900346
1072,OMOP_42900220
1073,OMOP_42899648
1074,OMOP_42899116
1075,OMOP_42900021
1076,OMOP_42899416
1077,OMOP_42899726
1078,OMOP_42898735
1079,OMOP_42900039
1080,OMOP_42900571
1081,OMOP_42900437
1082,OMOP_42898672
1083,OMOP_42900495
1084,OMOP_42898976
1085,OMOP_42899351
1086,OMOP_42900494
1087,OMOP_42899886
1088,OMOP_42899696
1089,OMOP_42898315
1090,OMOP_42898890
1091,OMOP_42900014
1092,OMOP_42899592
1093,OMOP_42899491
1094,OMOP_42899932
1095,OMOP_42898262
1096,OMOP_42900071
1097,OMOP_42898430
1098,OMOP_42900243
1099,OMOP_42899892
1100,OMOP_42898396
1101,OMOP_42899908
1102,OMOP_42899501
1103,OMOP_42898720
1104,OMOP_42898721
1105,OMOP_42899871
1106,OMOP_42898880
1107,OMOP_42898879
1108,OMOP_42898888
1109,OMOP_42899199
1110,OMOP_42898884
1111,OMOP_42900479
1112,OMOP_42899440
1113,OMOP_42898526
